id,bad,wealth,max_unpay_day,score,age,period,education
1,0,3,,280,26,6,4
2,0,4,,316,35,,4
3,0,6,,361,29,4,4
4,0,4,,290,23,6,
5,0,7,,276,26,6,4
6,1,4,,263,24,10,
7,0,8,,257,25,6,4
8,0,6,,294,24,6,3
9,0,2,,196,22,6,4
10,0,4,,300,26,10,1
11,0,5,,214,25,6,3
12,0,,,0,36,4,4
13,0,2,,277,21,6,2
14,0,4,,276,29,,2
15,0,4,,304,24,10,4
16,0,4,,232,27,4,2
17,1,4,171,293,29,10,2
18,0,4,,245,23,6,2
19,0,3,,256,33,10,4
20,0,4,,260,22,6,4
21,0,4,,361,26,6,4
22,0,5,,335,30,6,4
23,0,3,,364,27,6,2
24,0,3,,294,31,,4
25,0,4,,358,27,6,4
26,0,6,,339,29,10,4
27,0,6,,300,29,6,
28,0,3,,258,31,10,
29,1,,,230,25,10,2
30,1,3,,222,24,10,
31,0,4,,366,33,,2
32,0,4,,309,24,6,
33,0,4,,292,27,6,2
34,0,4,,331,23,10,3
35,0,2,,304,22,10,
36,0,3,193,218,23,10,2
37,0,4,,278,23,,
38,0,4,,331,31,10,4
39,0,4,,288,34,6,4
40,0,5,,278,32,6,
41,0,3,,330,30,6,4
42,0,6,,388,35,4,4
43,0,1,,281,28,10,
44,0,,,0,32,,5
45,0,3,,349,24,6,4
46,0,4,,293,20,6,2
47,0,3,,200,22,6,3
48,0,6,,404,27,,4
49,0,6,,259,24,6,3
50,0,5,,331,32,6,4
51,0,6,,290,25,,4
52,0,3,,236,23,6,
53,0,6,,272,29,10,5
54,0,3,,383,25,6,4
55,0,5,,237,25,6,2
56,0,8,,272,25,10,2
57,0,3,,0,34,6,4
58,0,7,,446,29,6,4
59,0,6,,311,26,10,
60,0,4,204,232,24,10,2
61,0,5,,301,29,10,1
62,0,4,,316,29,6,4
63,0,4,,225,23,10,
64,0,6,,277,24,6,
65,0,4,,278,26,6,4
66,0,5,,342,30,10,4
67,0,2,,227,25,6,4
68,0,4,,310,29,,4
69,0,6,,333,30,6,4
70,0,10,,300,23,10,4
71,0,5,,344,30,,4
72,0,3,,264,21,6,
73,0,3,,294,37,10,2
74,0,4,,290,26,6,2
75,0,3,,317,28,,4
76,0,5,,314,33,,
77,0,3,,307,27,,4
78,1,4,,311,26,,4
79,0,2,,288,24,6,4
80,0,1,,193,23,6,2
81,0,2,,239,22,10,2
82,1,2,,304,36,6,
83,1,3,,271,26,,5
84,0,5,,381,27,10,4
85,0,7,,334,47,,
86,0,7,,329,31,10,4
87,0,4,,250,23,6,2
88,0,4,,275,24,6,1
89,0,4,,242,27,10,4
90,0,,204,207,27,10,2
91,0,5,,256,30,,2
92,0,4,,346,25,6,4
93,0,2,,312,30,6,4
94,0,4,,409,27,10,4
95,0,3,,273,29,6,2
96,1,,,0,25,10,4
97,0,5,,390,33,10,4
98,0,3,,228,24,6,2
99,0,8,,278,23,6,1
100,0,5,,353,30,10,4
101,0,4,,257,26,6,2
102,0,2,,283,32,10,2
103,0,3,,320,30,6,
104,0,5,,301,26,10,4
105,0,4,,210,23,10,
106,0,6,,276,41,,4
107,0,6,,331,33,,4
108,0,6,,337,30,10,
109,0,2,,206,21,6,
110,0,4,,251,23,4,4
111,0,5,,276,24,6,4
112,0,7,,327,31,,3
113,0,5,,333,34,4,4
114,0,4,,338,27,6,4
115,0,3,,316,30,10,4
116,1,3,,319,24,,4
117,0,6,,367,31,6,4
118,1,6,,293,23,6,2
119,0,2,,246,26,6,1
120,0,3,,345,29,10,3
121,0,3,,318,31,6,3
122,0,5,,294,33,6,4
123,0,3,,339,31,8,2
124,0,3,,309,27,10,5
125,0,3,,271,33,,3
126,0,5,,312,27,6,
127,0,3,,345,32,10,4
128,0,3,,271,24,6,4
129,0,6,,283,30,4,4
130,0,4,,278,23,6,4
131,0,3,,311,22,10,2
132,0,8,,327,26,10,2
133,0,4,,268,26,,4
134,0,5,,415,30,6,
135,0,5,,321,28,6,4
136,0,4,,372,26,10,4
137,0,,,198,28,6,2
138,0,7,,377,24,10,3
139,0,7,,371,38,,4
140,0,3,,340,24,4,2
141,0,6,,356,29,6,4
142,0,3,,289,32,,4
143,0,4,,317,29,6,4
144,1,5,,333,23,6,1
145,0,4,,268,32,,4
146,0,4,,282,24,6,2
147,0,7,,368,47,,5
148,0,7,,336,26,6,5
149,0,4,,298,28,,4
150,0,4,,314,25,6,2
151,0,1,204,215,21,10,2
152,0,4,,316,24,6,4
153,0,3,,257,31,10,
154,0,6,,330,25,6,
155,0,4,,413,31,10,4
156,0,4,,206,29,10,4
157,0,3,,320,30,,4
158,0,4,,296,28,6,4
159,0,5,,336,33,4,4
160,0,2,,286,28,,4
161,0,2,,315,22,10,2
162,0,5,,306,31,6,4
163,0,5,,381,29,6,
164,0,1,,218,27,10,3
165,0,6,,343,24,6,5
166,0,4,,330,34,,4
167,0,5,,359,28,10,3
168,0,6,,304,29,6,
169,0,3,,325,34,10,4
170,0,4,,305,25,6,4
171,0,3,,379,30,6,4
172,0,6,,308,31,10,
173,0,4,,342,33,,4
174,0,3,,295,25,10,3
175,0,4,,330,23,6,4
176,1,4,,376,27,6,
177,0,6,,298,26,6,4
178,0,4,,367,38,6,4
179,0,2,,309,25,6,4
180,0,4,,299,25,6,1
181,0,,,194,34,,5
182,0,6,,233,24,6,4
183,0,7,,283,28,10,2
184,0,3,,333,31,,4
185,1,5,200,204,23,,2
186,0,3,,239,24,6,2
187,0,6,,317,25,6,4
188,0,5,,309,31,10,1
189,0,3,,287,25,6,
190,0,5,,0,34,6,2
191,0,,201,205,31,10,2
192,0,5,,270,22,6,2
193,0,2,,218,26,,2
194,0,4,,418,28,10,2
195,0,4,,250,21,6,4
196,0,7,,329,32,6,2
197,0,3,,315,28,6,4
198,0,4,,331,23,6,4
199,0,5,,339,30,6,4
200,0,4,,330,30,6,4
201,0,6,,352,25,10,2
202,0,6,,338,30,6,4
203,0,1,208,205,22,10,
204,0,6,,350,26,10,4
205,0,4,,316,24,6,1
206,0,2,,270,22,6,2
207,0,5,,324,24,10,3
208,0,3,,324,35,6,3
209,0,5,,261,27,6,5
210,0,6,,395,24,10,4
211,0,4,,331,31,,4
212,0,5,,350,26,6,2
213,1,3,204,214,26,10,3
214,0,5,,336,38,6,4
215,0,4,,307,27,6,
216,0,5,,413,28,6,4
217,0,5,,310,22,6,
218,0,5,,364,33,10,4
219,0,7,,346,24,10,3
220,0,6,,411,24,6,4
221,0,4,,335,25,6,4
222,1,7,,218,22,10,2
223,0,4,,380,26,6,4
224,0,5,,245,24,6,4
225,0,5,,346,28,6,4
226,0,10,,231,27,6,
227,0,7,,334,25,10,4
228,0,6,,316,26,6,4
229,0,6,,275,23,6,4
230,0,3,,226,23,6,4
