id,bad,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14
1,0,优,8.37,0,0,0,0,0,0,0,0,0,0,0,0
2,0,优,11.68,0,0,0,0,0,0,0,0,0,0,1,1532
3,1,,3.77,2,98,98,98,0,0,100,100,98,98,0,0
4,0,,16.26,1,0,0,0,0,0,0,0,0,0,0,0
5,0,良,13.18,3,119.86,80,39.95,80,80,5180,50,400,149.67,2,1276
6,0,优,5.36,1,0,0,0,0,0,0,0,0,0,4,365
7,0,优,4.22,9,187.1,76.1,37.42,30,30,5256.0759,0,4000,1105,7,531
8,0,良,13.85,14,639,90,58.09,104,80,5000,10,2500,374,14,672
9,0,优,8.72,2,62,62,62,0,0,50,50,31,31,0,0
10,1,优,10.93,2,155,100,77.5,0,0,1001,600,1001,665.5,2,449
11,1,优,4.7,2,109,60,54.5,0,0,3000,2000,1800,1390,12,6
12,0,优,17.48,2,0,0,0,0,0,0,0,0,0,0,0
13,0,优,1.45,1,25,25,25,0,0,500,500,125,125,0,0
14,0,良,8.77,7,395,100,79,90,90,1000,100,1000,337.66,0,0
15,0,优,3.24,8,381.67,96.68,47.71,100,50,5056,50,680.8,189.12,13,254
16,0,,1.9,1,100,100,100,100,100,1000,1000,1000,1000,17,91
17,0,良,1.17,4,230,90,76.67,0,0,1000,30,500,205.67,0,0
18,0,优,0.78,5,14.5,14.5,14.5,0,0,1000,1000,145,145,0,0
19,0,优,2.99,1,10,10,10,0,0,500,500,50,50,0,0
20,0,良,7.41,6,218.34,67,43.67,101,67,1000,50,340,86.43,3,217
21,0,优,2.42,1,68,68,68,0,0,1000,1000,680,680,0,0
22,0,优,,5,200,50,50,50,50,100,3,50,37.88,7,409
23,0,良,,1,0,0,0,0,0,0,0,0,0,0,0
24,0,优,,1,0,0,0,0,0,0,0,0,0,17,62
25,0,优,,5,173.62,51,34.72,0,0,5000,50,2550,1239.82,2,712
26,0,良,,3,45,45,,0,0,1000,1000,450,450,0,0
27,1,良,2.89,1,95,95,,0,0,50,50,47.5,47.5,10,80
28,0,优,3.9,3,65.97,50,,0,0,50,1.628,25,12.63,7,135
29,0,良,2.72,3,76.6,66.6,19.15,76.6,66.6,50,0,100,33.58,0,0
30,0,良,4.09,2,0,0,0,0,0,0,0,0,0,1,698
31,0,,8.25,2,200,100,100,100,100,100,12,100,56,0,0
32,0,良,19.56,2,10.09,9.09,5.04,0,0,500,450,40.905,22.95,75,270
33,0,良,2.33,3,159,70,53,49,49,2000000,50,800000,266791.5,4,237
34,0,优,2.16,1,0,,0,0,0,,0,0,0,0,0
35,0,良,12.92,1,0,,0,0,0,,0,0,0,10,32
36,0,优,5.51,1,100,,100,0,0,,5000,5000,5000,0,0
37,0,优,2.18,4,95,,31.67,0,0,200,200,120,63.33,0,0
38,0,良,7.99,2,20,20,20,0,0,500,500,100,100,3,34
39,0,良,15.18,2,130,80,65,80,80,108,101,80.8,67.4,9,58
40,0,优,25.35,2,80,80,80,0,0,2000,2000,1600,1600,8,602
41,0,良,0.16,1,50,50,50,0,0,1000,1000,500,500,0,0
42,0,优,1.94,2,100,100,100,0,0,100,100,100,100,0,0
43,0,优,5.18,1,48,48,48,0,0,1000,,480,480,6,787
44,0,良,2.78,1,100,100,100,100,100,30,,30,30,0,0
45,1,优,3.86,2,80,80,80,80,80,500,,400,400,0,0
46,0,优,4.4,3,68.75,50,34.38,18.75,18.75,100,80,50,32.5,0,0
47,0,良,12.13,9,64.2,40,32.1,0,0,2006,600,485.4,362.7,0,0
48,0,良,3.15,4,160,100,53.33,0,0,2000,800,1200,600,2,504
49,0,优,4.06,1,0,0,0,0,0,0,0,0,0,4,504
50,1,优,12.76,12,419,100,52.38,157,51,2000,300,1000,359.75,12,939
51,0,良,0.07,3,150,100,75,100,100,1800,1000,1800,1150,0,0
52,0,优,7.82,0,40,40,,40,40,50,50,20,20,3,233
53,0,良,6.34,3,207,97,,50,50,502,50,301.2,124.9,0,0
54,0,,9.11,2,160,100,,0,0,50,3,30,16.5,7,747
55,1,优,9.26,11,572.16,100,52.01,150,100,12000,30,6120,2018.1,0,0
56,0,良,1.57,9,5.6,5.6,2.8,0,0,24000,24000,1344.4901,672.25,0,0
57,0,优,11.24,2,182,100,91,0,0,2000,50,2000,,11,49
58,0,优,12.1,9,245.57,63.9,30.7,73,50,5050,5,319.5,,7,214
59,0,良,6.48,1,3.33,3.33,3.33,0,0,1500,1500,50,,11,327
60,0,,7.94,4,250.1,98,50.02,40,40,3000,200,2940,,9,554
61,0,优,4.79,9,312.58,51,31.26,184,51,5380,10,1274,313.27,16,881
62,0,良,53.28,7,0,0,0,0,0,0,0,0,0,0,0
63,0,,10.28,1,15,15,15,0,0,1000,1000,150,150,7,789
64,0,优,9.85,5,100,100,100,0,0,240,240,240,240,0,0
65,0,良,22.05,1,80,80,80,0,0,50,50,40,40,0,0
66,0,,16.02,2,190,80,63.33,0,0,300,50,240,98.33,2,3472
67,0,优,5.43,6,100,80,50,0,0,50,10,40,21,0,0
68,0,良,8.47,2,90,90,90,0,0,50,50,45,45,6,671
69,0,优,13.81,1,0,0,0,0,0,0,,0,0,0,0
70,0,优,8.08,2,2,2,2,0,0,3000,,60,60,13,1740
71,0,良,3.62,1,70,70,70,0,0,200,,140,140,0,0
72,0,优,4.99,2,133.33,50,44.44,33.33,33.33,107,,75,37.39,6,397
73,0,优,2.88,6,131,71,43.67,0,0,10200,,1448.4,572.8,0,0
74,0,良,10.68,87,743.87,100,61.99,298,99,14296.1624,20,4504.64166,459.59,27,174
75,0,,2.79,2,0,0,0,0,0,0,0,0,0,0,0
76,0,优,9.02,4,175,100,58.33,0,0,100,50,55,38.33,7,282
77,0,良,5.95,8,388.5,70,,30,30,2000,50,888.89,245.68,6,756
78,0,,2.27,1,60,60,,0,0,500,500,300,300,3,50
79,0,,7.42,19,202.71,90,,174.48,90,5321.7,100,970,298.74,14,743
80,0,良,5.23,10,306.09,90,34.01,10,10,8000,50,2800,726.33,8,6
81,0,,6.31,2,,35,18.5,0,0,10000,50,200,108.75,25,112
82,0,优,6.08,1,,100,100,0,0,700,700,700,700,5,474
83,0,良,1.11,5,,20,20,20,20,,50,10,10,0,0
84,0,,10.82,1,,100,100,100,100,,30,30,30,0,0
85,0,优,8.99,9,483.1,80,37.16,200,80,,50,3150,572.41,5,369
86,0,良,9.61,4,0,0,0,0,0,,0,0,0,0,0
87,0,优,11.62,2,83,50,41.5,33,33,2000,300,1000,549.5,0,0
88,0,优,18.33,4,54.05,54.05,54.05,0,0,1850,1850,1000,1000,0,0
89,0,良,6.15,1,0,0,0,0,0,0,0,0,0,4,206
90,0,优,11.09,1,100,100,100,0,0,408,408,408,408,0,0
91,0,优,1.17,2,100,100,100,0,0,80,80,,80,0,0
92,0,良,6.16,2,50,25,25,0,0,1188,518,,213.25,4,100
93,0,良,2.11,3,51,51,51,0,0,500,500,,255,0,0
94,1,优,5.75,2,204.83,100,68.28,0,0,2000,921,,868.5,1,105
95,0,良,2.36,11,377,100,75.4,0,0,5000,0,100,,0,0
